tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
326219,212240,10/14/2015,12,0,OnCurb,Alive,Good,Acer platanoides 'Crimson King',crimson king maple,1or2,None,NoDamage,NYC Parks Staff,"Stones,BranchLights,Sneakers",Yes,No,No,No,No,No,Yes,Yes,No,3013 QUENTIN ROAD,11234,Brooklyn,318,3,Brooklyn,46,59,22,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3064000,New York,40.6119373,-73.94083634,1000676.618,162227.1936,46,644,3212094,3077030009
219963,218211,09/12/2015,14,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,258 SKILLMAN AVENUE,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3047700,New York,40.71625476,-73.94069628,1000689.774,200233.0038,34,477,3070211,3028930030
486460,408577,11/28/2015,8,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,173 MELHORN ROAD,10314,Staten Island,502,5,Staten Island,50,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5017700,New York,40.60781386,-74.11398501,952600.4471,160739.9614,50,177,5089924,5006900042
100531,344982,07/28/2015,22,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,1922 MADISON STREET,11385,Ridgewood,405,4,Queens,30,37,15,QN20,Ridgewood,4058900,New York,40.70456907,-73.90363047,1010969.587,195984.6855,30,589,4083311,4034810026
123344,405924,08/06/2015,8,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,3587 RICHMOND ROAD,10306,Staten Island,502,5,Staten Island,50,62,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5027900,New York,40.57251052,-74.14071042,945159.1044,147888.8696,50,279,5037221,5022810001
470979,401840,11/19/2015,6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,544 LISK AVENUE,10303,Staten Island,501,5,Staten Island,49,63,23,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,5030302,New York,40.62302185,-74.16734405,937795.1533,166304.4132,49,30302,5118400,5016687502
244563,511966,09/21/2015,15,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2072 WHITE PLAINS ROAD,10462,Bronx,211,2,Bronx,13,80,34,BX49,Pelham Parkway,2022404,New York,40.85263905,-73.86761207,1020874.575,249944.5691,13,22404,2095028,2042870005
305896,232297,10/10/2015,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,3811 SNYDER AVENUE,11203,Brooklyn,317,3,Brooklyn,45,58,21,BK91,East Flatbush-Farragut,3085800,New York,40.6494809,-73.9413138,1000534.887,175905.2421,45,858,3109627,3048920036
675205,220513,08/23/2016,11,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,3or4,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,265 DECATUR STREET,11233,Brooklyn,303,3,Brooklyn,36,56,25,BK61,Crown Heights North,3029700,New York,40.68152941,-73.93312539,1002798.182,187583.0399,36,297,3047083,3016750019
551293,300556,03/20/2016,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,31-016 48 STREET,11377,Woodside,401,4,Queens,26,30,13,QN70,Astoria,4016300,New York,40.75783174,-73.91101907,1008901.3,215387.7651,26,153,4013240,4007270046
399406,413722,10/29/2015,5,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,147 RATHBUN AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI48,Arden Heights,5017009,New York,40.54649863,-74.18278209,933451.3742,138433.7081,51,17009,5080204,5062330062
277038,229580,10/01/2015,15,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1947 OCEAN AVENUE,11210,Brooklyn,314,3,Brooklyn,48,41,17,BK43,Midwood,3054600,New York,40.61417596,-73.95407162,997001.4525,163040.5926,48,546,3210661,3076740009
387620,511565,10/27/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1657 PAULDING AVENUE,10462,Bronx,211,2,Bronx,13,82,34,BX37,Van Nest-Morris Park-Westchester Square,2025200,New York,40.84663893,-73.85412869,1024608.332,247764.4255,13,252,2044603,2040980012
592471,347303,06/17/2016,4,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,85-033 ELIOT AVENUE,11374,Rego Park,405,4,Queens,29,30,16,QN21,Middle Village,4067900,New York,40.72850834,-73.87227884,1019649.474,204717.6001,29,505,4065584,4028880045
403931,331984,10/30/2015,13,0,OnCurb,Alive,Good,Acer pseudoplatanus,sycamore maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,234-011 137 AVENUE,11422,Rosedale,413,4,Queens,31,29,14,QN66,Laurelton,4064600,New York,40.67106632,-73.73745161,1057081.12,183873.1054,31,646,4283857,4132000004
371716,338667,10/24/2015,7,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,410 BEACH 72 STREET,11692,Arverne,414,4,Queens,31,31,10,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.59280111,-73.80060153,1039628.227,155312.8715,31,954,4303169,4160530066
722236,319016,09/26/2016,28,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,132-011 LINDEN BOULEVARD,11420,South Ozone Park,410,4,Queens,28,32,10,QN55,South Ozone Park,4017200,New York,40.68199296,-73.80933972,1037130.679,187802.3958,28,172,4251003,4116360035
